NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0110000001111,北海道札幌市,もみじ台中学校,北海道札幌市厚別区もみじ台西1-1-1,1,,,43.03806002,141.4847101,
2,E0110000002111,北海道札幌市,もみじの森小学校,北海道札幌市厚別区もみじ台西3-4-1,1,,,43.0317372,141.4862899,
3,E0110000004111,北海道札幌市,もみじ台東第１集会所,北海道札幌市厚別区もみじ台東1-1,,,,43.03152508,141.4938245,
4,E0110000005111,北海道札幌市,もみじの丘小学校,北海道札幌市厚別区もみじ台東4-5-1,1,,,43.02982537,141.497646,
5,E0110000006111,北海道札幌市,光生舎ゆいま～る・もみじ台,北海道札幌市厚別区もみじ台南3-4,,,,43.02438651,141.4949528,
6,E0110000008111,北海道札幌市,もみじ台北第２集会所,北海道札幌市厚別区もみじ台北4-7,,,,43.03572462,141.4874945,
7,E0110000009111,北海道札幌市,星槎札幌もみじキャンパス・星槎国際高等学校・星槎もみじ中学校,北海道札幌市厚別区もみじ台北5-12-1,,,,43.03591973,141.492393,
8,E0110000013111,北海道札幌市,天理教羽幌分教会,北海道札幌市厚別区厚別西五条4-1-1,,,,43.054049797485,141.4622711013,
9,E0110000675111,北海道札幌市,ベルコユアホール厚別西,北海道札幌市厚別区厚別西五条6-2-8,,,,43.0556487001227,141.467691667126,
10,E0110000010111,北海道札幌市,厚別西小学校,北海道札幌市厚別区厚別西三条1-3-1,1,,,43.04815755,141.4577477,
11,E0110000011111,北海道札幌市,厚別通小学校,北海道札幌市厚別区厚別西四条3-10-30,1,,,43.05244543,141.4618346,
12,E0110000012111,北海道札幌市,厚別西地区センター,北海道札幌市厚別区厚別西四条4-10-1,,,,43.0529828,141.4656839,
13,E0110000014111,北海道札幌市,厚別区民センター,北海道札幌市厚別区厚別中央一条5-3-14,,,,43.036623,141.474432,
14,E0110000015111,北海道札幌市,札幌市厚別老人福祉センター,北海道札幌市厚別区厚別中央一条7-17-25,,,,43.03839837,141.4800974,
15,E0110000018111,北海道札幌市,信濃中学校,北海道札幌市厚別区厚別中央三条2-3-1,1,,,43.03646776,141.4596896,
16,E0110000019111,北海道札幌市,智徳寺,北海道札幌市厚別区厚別中央三条4-8-20,,,,43.04018364,141.4685466,
17,E0110000020111,北海道札幌市,大行寺,北海道札幌市厚別区厚別中央三条5-1-1,,,,43.04038472,141.4695582,
18,E0110000021111,北海道札幌市,札幌東商業高校,北海道札幌市厚別区厚別中央三条5-6-10,,,,43.04191377,141.4707491,
