NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E0110000001202,北海道札幌市,もみじ台中学校,北海道札幌市厚別区もみじ台西1-1-1,1,1,,1,,1,,,1,43.03806002377,141.48471007692,
2,E0110000002202,北海道札幌市,もみじの森小学校,北海道札幌市厚別区もみじ台西3-4-1,1,1,,1,,1,,,1,43.031737202971,141.48628989429,
3,E0110000003201,北海道札幌市,熊の沢公園,北海道札幌市厚別区もみじ台西6,,,,,,1,,,,43.029200723126,141.49060815161,
4,E0110000005202,北海道札幌市,もみじの丘小学校,北海道札幌市厚別区もみじ台東4-5-1,1,1,,1,,1,,,1,43.02982536585,141.4976460203,
5,E0110000010202,北海道札幌市,厚別西小学校,北海道札幌市厚別区厚別西三条1-3-1,1,,,1,,1,,,1,43.048157547332,141.45774773239,
6,E0110000011202,北海道札幌市,厚別通小学校,北海道札幌市厚別区厚別西四条3-10-30,1,,,1,,1,,,1,43.052445430084,141.46183455449,
7,E0110000018202,北海道札幌市,信濃中学校,北海道札幌市厚別区厚別中央三条2-3-1,1,1,,1,,1,,,1,43.036467762677,141.45968962194,
8,E0110000023202,北海道札幌市,信濃小学校,北海道札幌市厚別区厚別中央四条3-6-1,1,1,,1,,1,,,1,43.041991093873,141.46344534195,
9,E0110000016202,北海道札幌市,ひばりが丘小学校,北海道札幌市厚別区厚別中央二条4-3-1,1,1,,1,,1,,,1,43.036495447985,141.46612253977,
10,E0110000017201,北海道札幌市,厚別区体育館,北海道札幌市厚別区厚別中央二条5-1-20,1,1,,1,,,,,1,43.037306690408,141.470521277,
11,E0110000025201,北海道札幌市,野幌森林公園,北海道札幌市厚別区厚別町小野幌53,,,,,,1,,,,43.054659096516,141.49661316234,
12,E0110000026202,北海道札幌市,厚別北中学校,北海道札幌市厚別区厚別町小野幌774-5,,,,1,,1,,,1,43.058987280163,141.47004959084,
13,E0110000029202,北海道札幌市,厚別中学校,北海道札幌市厚別区厚別東三条5-1-1,1,1,,1,,1,,,1,43.047081700897,141.48743731577,
14,E0110000031202,北海道札幌市,厚別東小学校,北海道札幌市厚別区厚別東四条8-1-1,1,1,,1,,1,,,1,43.055043571638,141.48657803278,
15,E0110000028202,北海道札幌市,小野幌小学校,北海道札幌市厚別区厚別東二条4-5-1,1,1,,1,,1,,,1,43.044018323992,141.4850520555,
16,E0110000034202,北海道札幌市,共栄小学校,北海道札幌市厚別区厚別南2-21-22,1,1,,1,,1,,,1,43.029714846745,141.47061955466,
17,E0110000035202,北海道札幌市,新札幌わかば小学校,北海道札幌市厚別区厚別南7-9-1,1,1,,1,,1,,,1,43.022515949029,141.4791421085,
18,E0110000036202,北海道札幌市,厚別北小学校,北海道札幌市厚別区厚別北二条3-3-1,1,1,,1,,1,,,1,43.05500083396,141.4756025329,
19,E0110000039201,北海道札幌市,厚別公園,北海道札幌市厚別区上野幌三条1,,,,,,1,,,,43.019537579014,141.46316378897,
20,E0110000037202,北海道札幌市,上野幌中学校,北海道札幌市厚別区上野幌二条3-10-1,1,1,,1,,1,,,1,43.015589826612,141.47180797896,
21,E0110000038202,北海道札幌市,ノホロの丘小学校,北海道札幌市厚別区上野幌二条4-5-1,1,1,,1,,1,,,1,43.01410227474,141.47537232565,
22,E0110000040202,北海道札幌市,青葉中学校,北海道札幌市厚別区青葉町10-1-1,1,1,,1,,1,,,1,43.024687160909,141.48017486932,
23,E0110000042201,北海道札幌市,青葉中央公園,北海道札幌市厚別区青葉町5,,,,,,1,,,,43.029310522841,141.47387116736,
24,E0110000044201,北海道札幌市,北星学園大学,北海道札幌市厚別区大谷地西2-3-1,,,,,,1,,,1,43.025718401692,141.44911974256,
25,E0110000046202,北海道札幌市,大谷地東小学校,北海道札幌市厚別区大谷地東5-8-1,1,1,,1,,1,,,1,43.023764224328,141.45819811384,
26,E0110000047202,北海道札幌市,厚別南中学校,北海道札幌市厚別区大谷地東7-1-1,,,,1,,1,,,1,43.028792036465,141.46003794987,
27,E0110000051201,北海道札幌市,稲穂中学校,北海道札幌市手稲区稲穂四条2-88-1,,,,,,1,,,1,43.119811057423,141.22725251364,
28,E0110000052202,北海道札幌市,稲穂小学校,北海道札幌市手稲区稲穂四条5-189-1,,,,1,,1,,,1,43.123285108863,141.21868065402,
29,E0110000055202,北海道札幌市,手稲西小学校,北海道札幌市手稲区金山三条2-8-60,1,1,,1,,1,,,1,43.123383624325,141.20284613732,
30,E0110000056202,北海道札幌市,手稲西中学校,北海道札幌市手稲区金山三条2-8-7,1,1,,1,,1,,,1,43.123590769593,141.20389662726,
31,E0110000057202,北海道札幌市,手稲北小学校,北海道札幌市手稲区手稲山口653-2,1,1,,1,,1,,,1,43.142028219976,141.20831962989,
32,E0110000061202,北海道札幌市,手稲中央小学校,北海道札幌市手稲区手稲本町三条2-6-1,1,1,,1,,1,,,1,43.115582161847,141.24067544754,
33,E0110000065201,北海道札幌市,札幌運転免許試験場,北海道札幌市手稲区曙五条4,,,,,,1,,,,43.135420566901,141.22869084166,
34,E0110000066201,北海道札幌市,稲陵中学校,北海道札幌市手稲区曙七条2-6-50,1,,,1,,1,,,1,43.139154754683,141.23665190522,
35,E0110000063202,北海道札幌市,手稲山口小学校,北海道札幌市手稲区曙十一条2-7-1,1,,,1,,1,,,1,43.145805353435,141.23576890601,
36,E0110000064201,北海道札幌市,手稲区体育館,北海道札幌市手稲区曙二条1-2-46,1,1,,1,,,,,1,43.126571516341,141.23923297824,
37,E0110000068202,北海道札幌市,新陵東小学校,北海道札幌市手稲区新発寒五条4-2-1,1,,,1,,1,,,1,43.11413194348,141.27266097813,
38,E0110000070202,北海道札幌市,新陵中学校,北海道札幌市手稲区新発寒五条4-4-1,1,,,1,,1,,,1,43.115274076239,141.27406882485,
39,E0110000067202,北海道札幌市,新発寒小学校,北海道札幌市手稲区新発寒二条2-1115-307,1,,,1,,1,,,1,43.107161095933,141.27063619984,
40,E0110000071202,北海道札幌市,新陵小学校,北海道札幌市手稲区新発寒六条6-3-1,1,,,1,,1,,,1,43.11971619245,141.27253260614,
41,E0110000074202,北海道札幌市,星置中学校,北海道札幌市手稲区星置三条5-13-1,1,1,,1,,1,,,1,43.139902887383,141.20386309675,
42,E0110000072202,北海道札幌市,星置東小学校,北海道札幌市手稲区星置二条1-6-1,1,1,,1,,1,,,1,43.135123344345,141.21705816201,
43,E0110000075202,北海道札幌市,西宮の沢小学校,北海道札幌市手稲区西宮の沢二条4-15-1,1,1,,1,,1,,,1,43.106025757626,141.25997916767,
44,E0110000084201,北海道札幌市,前田森林公園,北海道札幌市手稲区前田591-4,,,,,,1,,,,43.144470698504,141.25639506635,
45,E0110000079201,北海道札幌市,手稲稲積公園,北海道札幌市手稲区前田一条5,,,,,,1,,,,43.115945922064,141.25983384249,
46,E0110000085202,北海道札幌市,稲積小学校,北海道札幌市手稲区前田五条7-1-1,1,1,,1,,1,,,1,43.120839638713,141.25930285886,
47,E0110000083202,北海道札幌市,稲積中学校,北海道札幌市手稲区前田四条5-2-1,1,1,,1,,1,,,1,43.117312282706,141.26223382542,
48,E0110000087202,北海道札幌市,前田中学校,北海道札幌市手稲区前田七条13-1-1,1,,,1,,1,,,1,43.130565494519,141.25124430109,
49,E0110000088202,北海道札幌市,北海道科学大学,北海道札幌市手稲区前田七条15,1,,,1,,1,,,1,43.134470702281,141.24849393517,
50,E0110000076202,北海道札幌市,前田北中学校,北海道札幌市手稲区前田十条15-8-1,1,,,1,,1,,,1,43.138698154307,141.2522555716,
51,E0110000077202,北海道札幌市,前田北小学校,北海道札幌市手稲区前田十条18-4-1,1,,,1,,1,,,1,43.143358804402,141.24776367974,
52,E0110000080202,北海道札幌市,手稲鉄北小学校,北海道札幌市手稲区前田二条12-1-2,1,1,,1,,1,,,1,43.124352611355,141.24570690679,
