pref,city,n03_code,svg_path_id
岡山県,久米南町,33663,n03_33663
岡山県,井原市,33207,n03_33207
岡山県,倉敷市,33202,n03_33202
岡山県,備前市,33211,n03_33211
岡山県,勝央町,33622,n03_33622
岡山県,吉備中央町,33681,n03_33681
岡山県,和気町,33346,n03_33346
岡山県,奈義町,33623,n03_33623
岡山県,岡山市中区,33102,n03_33102
岡山県,岡山市北区,33101,n03_33101
岡山県,岡山市南区,33104,n03_33104
岡山県,岡山市東区,33103,n03_33103
岡山県,所属未定地,33100,n03_33100
岡山県,新庄村,33586,n03_33586
岡山県,新見市,33210,n03_33210
岡山県,早島町,33423,n03_33423
岡山県,津山市,33203,n03_33203
岡山県,浅口市,33216,n03_33216
岡山県,瀬戸内市,33212,n03_33212
岡山県,玉野市,33204,n03_33204
岡山県,真庭市,33214,n03_33214
岡山県,矢掛町,33461,n03_33461
岡山県,笠岡市,33205,n03_33205
岡山県,総社市,33208,n03_33208
岡山県,美作市,33215,n03_33215
岡山県,美咲町,33666,n03_33666
岡山県,西粟倉村,33643,n03_33643
岡山県,赤磐市,33213,n03_33213
岡山県,里庄町,33445,n03_33445
岡山県,鏡野町,33606,n03_33606
岡山県,高梁市,33209,n03_33209
