ポート名,住所,ポート状況,備考,経度,緯度,分類
岡山駅東口<br><br>,岡山市北区駅元町1-1 付近,,,133.9175706,34.66454138,ももちゃり
西川緑道公園<br>,岡山市北区平和町1 付近,,,133.9230063,34.66539614,ももちゃり
柳川交差点<br>,岡山市北区野田屋町一丁目 付近,,,133.9255464,34.66578643,ももちゃり
岡山シンフォニーホール<br>,岡山市北区表町一丁目5-1 付近,,,133.9298483,34.66544064,ももちゃり
石山公園<br>,岡山市北区丸の内二丁目1-1 付近,,,133.932929,34.66562902,ももちゃり
県立図書館前<br>,岡山市北区丸の内二丁目6-30 付近,,,133.9341309,34.66230218,ももちゃり
表町二丁目自転車等駐車場<br>,岡山市北区表町二丁目3-78 付近,,,133.9297834,34.66144514,ももちゃり
岡山中央郵便局前,岡山市北区中山下二丁目1-1 付近,,,133.9264548,34.66221393,ももちゃり
ＮＴＴコミュニケーションズ<br>,岡山市北区中山下一丁目8-53 付近,,,133.9264787,34.66334279,ももちゃり
西川アイプラザ前<br>,岡山市北区幸町10-16 付近,,,133.9225263,34.66110893,ももちゃり
イトーヨーカドー前<br>,岡山市北区下石井二丁目10-2 付近,,,133.9190099,34.65725103,ももちゃり
岡山市役所<br>,岡山市北区大供一丁目2-3 付近,,,133.9203677,34.65611744,ももちゃり
保健福祉会館<br>,岡山市北区鹿田町一丁目1-1 付近,,,133.918674,34.65482053,ももちゃり
大元駅<br>,岡山市北区大元駅前10-19 付近,,,133.9111172,34.6472481,ももちゃり
岡山駅西口Ａ,岡山市北区駅元町1017-2　付近,,,133.9177942,34.66754529,ももちゃり
岡山駅西口Ｂ,岡山市北区駅元町294-2　付近,,,133.9170396,34.66706379,ももちゃり
岡山大学創立50周年記念館,岡山市北区津島中一丁目1446,,,133.9184542,34.68700297,ももちゃり
岡山大学図書館前,岡山市北区津島中三丁目1989,,,133.9201563,34.68902581,ももちゃり
岡山大学東門,岡山市北区津島中三丁目1706,,,133.9231601,34.68854571,ももちゃり
岡山大学西門,岡山市北区津島中二丁目1503,,,133.9205664,34.68748339,ももちゃり
岡山大学病院<br>,岡山市北区鹿田町二丁目5-1 付近<br>,,,133.9201398,34.65241706,ももちゃり
イオンモール岡山<br><br>,岡山市北区下石井1丁目18－1<br>,,,133.917947,34.66290868,ももちゃり
出石町,岡山県岡山市北区出石町1丁目2-23　付近,,,133.9308813,34.66918115,ももちゃり
岡山駅前,岡山県岡山市北区駅前町1丁目1-119　付近,,,133.9204952,34.66572009,ももちゃり
岡山商工会議所,岡山市北区厚生町三丁目1番15号 付近<br>,,,133.9120729,34.65632476,ももちゃり
天満屋岡山店,岡山市北区表町二丁目1番1号,,,133.9288887,34.6622953,ももちゃり
新西大寺町,岡山市北区表町三丁目15番1号 付近<br>,,,133.9266166,34.65841125,ももちゃり
京橋,岡山市北区京橋町4番11号 付近<br>,,,133.9322765,34.65830612,ももちゃり
天瀬,岡山市北区天瀬1番1号 付近<br>,,,133.9276643,34.65611028,ももちゃり
大供一丁目,岡山市北区大供一丁目8-1,,,133.920235,34.65560269,ももちゃり
岡山県総合グラウンド,岡山県岡山市北区いずみ町２-１,,,133.9198306,34.67828734,ももちゃり
きらめきプラザ,岡山県岡山市北区南方２１-２,,,133.9227152,34.67332591,ももちゃり
烏城公園駐車場,岡山県岡山市北区丸の内２２-３３,,,133.9340319,34.66368132,ももちゃり
